,index,count
0,office,1
1,executive,13
2,project-manager,2
3,non-tech,13
4,remote,6
5,dev,16
6,java,4
7,c,1
8,c-plus-plus,1
9,analyst,4
10,finance,4
11,senior,5
12,design,1
13,lead,3
14,devops,1
15,intern,3
16,entry-level,3
17,golang,3
18,community-manager,1
19,social-media,1
20,nft,5
21,metaverse,1
22,blockchain,2
23,accounting,1
24,marketing,5
25,copywriting,1
26,research,3
27,crypto,3
28,backend,1
29,react,9
30,nextjs,2
31,rust,3
32,ycombinator,2
33,,3
34,full-stack,4
35,solidity,7
36,solana,2
37,ethereum,5
38,javascript,3
39,ruby,1
40,node,4
41,scala,1
42,game-dev,1
43,web3js,1
44,react native,1
45,sales,3
46,cloud,2
47,legal,1
48,product-manager,1
49,architecture,1
50,css,1
51,sql,1
52,firebase,1
53,mongo,1
54,react-native,1
55,security,1
56,data-science,1
57,compliance,1
