,index,count
0,devops,1
1,dev,15
2,rust,2
3,senior,8
4,finance,2
5,react,5
6,javascript,4
7,executive,8
8,operations,3
9,lead,4
10,nft,7
11,customer-support,2
12,remote,6
13,marketing,5
14,non-tech,17
15,ethereum,13
16,analyst,4
17,data-science,1
18,solana,1
19,product-manager,1
20,blockchain,4
21,sales,6
22,intern,2
23,entry-level,3
24,community-manager,1
25,node,3
26,security,1
27,react native,1
28,design,3
29,game-dev,2
30,account-manager,1
31,api,1
32,ai,1
33,scientist,1
34,research,2
35,quality-assurance,2
36,technical-writer,1
37,accounting,1
38,junior,1
39,smart-contract,1
40,solidity,4
41,scala,1
42,java,2
43,backend,1
44,golang,1
45,copywriting,1
46,full-stack,1
47,web3js,1
48,office,1
49,project-manager,1
50,c,1
51,c-plus-plus,1
